TRANS_ID,TCTYPE,CREATEDAT,EXPIREDAT,CUSTOMERID,ORDERID,AMOUNT,REASON,REDEEMID
12011454,spent,2023-04-05 16:59:39,,16161481,39061923.0,-16.07,,
11561486,earned,2023-03-08 23:06:16,2023-04-07 23:06:16,16161481,,0.94,Refund,12011454
11561487,earned,2023-03-08 23:06:16,2023-04-07 23:06:16,16161481,,0.9,Refund,12011454
11127421,earned,2023-02-05 13:26:14,2023-04-07 13:26:14,16161481,,14.23,"Delivered, Not Received",12011454
8900466,expired,2022-07-14 06:01:28,,16161481,,-5.0,,
8227592,earned,2022-05-14 03:10:07,2022-07-13 03:10:07,16161481,,1.0,Damaged Item,8900466
8227590,earned,2022-05-14 03:10:06,2022-07-13 03:10:06,16161481,,1.0,Damaged Item,8900466
8227587,earned,2022-05-14 03:10:05,2022-07-13 03:10:05,16161481,,2.0,Short Expiry Product,8900466
8227588,earned,2022-05-14 03:10:05,2022-07-13 03:10:05,16161481,,1.0,Short Expiry Product,8900466
8227471,spent,2022-05-14 02:27:40,,16161481,32114336.0,-1.5,,
7781403,earned,2022-04-04 18:54:53,2022-06-03 18:54:53,16161481,,1.5,Refund,8227471
11562841,spent,2023-03-09 01:48:27,,23306353,38368189.0,-20.0,,
11330728,earned,2023-02-21 21:47:00,2023-03-23 21:47:00,23306353,,20.0,Short Expiry Product,11562841
11320645,spent,2023-02-21 03:35:17,,23306353,37967954.0,-110.0,,
11315932,earned,2023-02-20 18:37:11,2023-03-22 18:12:40,23306353,,30.0,"Delivered, Not Received",11320645
11315638,earned,2023-02-20 18:12:40,2023-03-22 18:00:17,23306353,,40.0,Refer a Friend,11320645
11315530,earned,2023-02-20 18:00:17,2023-04-21 18:00:17,23306353,,40.0,Damaged Item,11320645
